,,,,S3-H-1/AO1/PV.CV,,S3-FIC-201/PID1/OUT.CV,,S3-FIC-201/AI1/PV.CV,,S3-LT-31/AI1/PV.CV,,S3-FT-23/AI1/PV.CV,
,,,,20:07:02,1089.128052,20:07:02,50,20:07:02,453.6329041,20:07:02,87.52449799,20:07:02,512.284729
,,,,20:07:04,1564.650024,20:07:04,50,20:07:04,627.9611816,20:07:04,88.87008667,20:07:04,745.765625
,,,,20:07:06,1699.73999,20:07:06,50,20:07:06,842.022583,20:07:06,90.91754913,20:07:06,971.5394897
,,,,20:07:08,1699.73999,20:07:08,50,20:07:08,956.0361938,20:07:08,93.47910309,20:07:08,1019.497986
,,,,20:07:10,1699.73999,20:07:10,50,20:07:10,1010.200012,20:07:10,96.23735046,20:07:10,1040.401978
,,,,20:07:12,1699.73999,20:07:12,50,20:07:12,1035.842041,20:07:12,99.01793671,20:07:12,1043.244995
,,,,20:07:14,1699.73999,20:07:14,50,20:07:14,1051.614014,20:07:14,101.6912994,20:07:14,1049.270996
,,,,20:07:16,1699.73999,20:07:16,50,20:07:16,1054.796997,20:07:16,104.4561996,20:07:16,1067.868042
,,,,20:07:18,1699.73999,20:07:18,50,20:07:18,1065.506958,20:07:18,107.2546997,20:07:18,1070.281982
,,,,20:07:20,1699.73999,20:07:20,50,20:07:20,1070.406982,20:07:20,110.0397034,20:07:20,1072.642944
,,,,20:07:22,1699.73999,20:07:22,50,20:07:22,1074.717041,20:07:22,112.7845993,20:07:22,1071.999023
,,,,20:07:24,1699.73999,20:07:24,50,20:07:24,1076.271973,20:07:24,115.4981003,20:07:24,1072.536011
,,,,20:07:26,1699.73999,20:07:26,50,20:07:26,1081.314941,20:07:26,118.1177979,20:07:26,1075.754028
,,,,20:07:28,1699.73999,20:07:28,50,20:07:28,1085.105957,20:07:28,120.7218018,20:07:28,1079.937988
,,,,20:07:30,1699.73999,20:07:30,50,20:07:30,1086.555054,20:07:30,123.2565002,20:07:30,1077.630981
,,,,20:07:32,1699.73999,20:07:32,50,20:07:32,1084.104004,20:07:32,125.7332001,20:07:32,1077.756958
,,,,20:07:34,1699.73999,20:07:34,50,20:07:34,1084.176025,20:07:34,128.2276001,20:07:34,1080.402954
,,,,20:07:36,1699.73999,20:07:36,50,20:07:36,1086.500977,20:07:36,130.7310944,20:07:36,1076.630005
,,,,20:07:38,1699.73999,20:07:38,50,20:07:38,1086.930054,20:07:38,133.319397,20:07:38,1077.685059
,,,,20:07:40,1699.73999,20:07:40,50,20:07:40,1084.552002,20:07:40,135.8630981,20:07:40,1082.317017
,,,,20:07:42,1699.73999,20:07:42,50,20:07:42,1082.442017,20:07:42,138.4515076,20:07:42,1074.698975
,,,,20:07:44,1699.73999,20:07:44,50,20:07:44,1081.135986,20:07:44,141.008606,20:07:44,1075.128052
,,,,20:07:46,1699.73999,20:07:46,50,20:07:46,1079.848999,20:07:46,143.6416931,20:07:46,1075.860962
,,,,20:07:48,1699.73999,20:07:48,50,20:07:48,1080.635986,20:07:48,146.3105011,20:07:48,1075.485962
,,,,20:07:50,1699.73999,20:07:50,50,20:07:50,1082.709961,20:07:50,149.2519989,20:07:50,1074.376953
,,,,20:07:52,1699.73999,20:07:52,50,20:07:52,1083.031982,20:07:52,151.9588013,20:07:52,1072.821045
,,,,20:07:54,1699.73999,20:07:54,50,20:07:54,1082.083984,20:07:54,155.0077057,20:07:54,1073.286011
,,,,20:07:56,1699.73999,20:07:56,50,20:07:56,1081.333008,20:07:56,158.0140076,20:07:56,1072.963989
,,,,20:07:58,1699.73999,20:07:58,50,20:07:58,1079.973999,20:07:58,160.8930054,20:07:58,1075.057007
,,,,20:08:00,1699.73999,20:08:00,50,20:08:00,1078.042969,20:08:00,163.7608032,20:08:00,1070.245972
,,,,20:08:02,1699.73999,20:08:02,50,20:08:02,1075.432007,20:08:02,166.5950012,20:08:02,1069.012939
,,,,20:08:04,1699.73999,20:08:04,50,20:08:04,1074.30603,20:08:04,169.4248047,20:08:04,1068.671997
,,,,20:08:06,1699.73999,20:08:06,50,20:08:06,1074.02002,20:08:06,172.2411041,20:08:06,1066.706055
,,,,20:08:08,1699.73999,20:08:08,50,20:08:08,1073.661987,20:08:08,175.0619965,20:08:08,1067.885986
,,,,20:08:10,1699.73999,20:08:10,50,20:08:10,1073.625977,20:08:10,177.8961945,20:08:10,1066.706055
,,,,20:08:12,1699.73999,20:08:12,50,20:08:12,1073.464966,20:08:12,180.7505951,20:08:12,1066.490967
,,,,20:08:14,1699.73999,20:08:14,50,20:08:14,1073.786987,20:08:14,183.6340027,20:08:14,1067.171021
,,,,20:08:16,1699.73999,20:08:16,50,20:08:16,1072.480957,20:08:16,186.4548035,20:08:16,1064.989014
,,,,20:08:18,1699.73999,20:08:18,50,20:08:18,1068.404053,20:08:18,189.3516998,20:08:18,1063.612061
,,,,20:08:20,1699.73999,20:08:20,50,20:08:20,1068.602051,20:08:20,192.2261047,20:08:20,1062.432007
,,,,20:08:22,1699.73999,20:08:22,50,20:08:22,1070.962036,20:08:22,195.1542053,20:08:22,1060.858032
,,,,20:08:24,1699.73999,20:08:24,50,20:08:24,1071.552002,20:08:24,197.9705963,20:08:24,1058.765991
,,,,20:08:26,1699.73999,20:08:26,62.5,20:08:26,1069.764038,20:08:26,200.8047943,20:08:26,1059.642944
,,,,20:08:28,1699.73999,20:08:28,100,20:08:28,1168.864014,20:08:28,203.6524963,20:08:28,1248.11499
